,ML U.S. Treasury Bills 0-3 Months,ML U.S. Treasuries 10+ Yrs,ML U.S. Treasuries 3-5 Yrs,ML U.S. Corporates 1-3 Yrs,ML U.S. Corporates 3-5 Yrs,ML U.S. Corporates 10+ Yrs,ML Mortgage Master Index
,"Return, %","Return, %","Return, %","Return, %","Return, %","Return, %","Return, %"
,Total,Total,Total,Total,Total,Total,Total
1-Jan,0.435412,-0.648633,0.395349,0.499208,0.431124,-0.2039,0.674484
1-Feb,0.382715,-0.137267,0.018271,0.285921,0.176144,0.288088,0.34169
1-Mar,0.422892,-2.379006,-0.685241,0.114215,-0.509219,-1.951485,-0.963598
1-Apr,0.460946,2.431674,1.227126,0.903501,1.200522,2.02431,1.634893
1-May,0.467732,1.071693,0.784024,0.734624,0.855848,0.954124,0.963286
1-Jun,0.371316,1.885973,0.93061,0.75225,0.988301,2.091648,1.119085
1-Jul,0.433338,5.782744,2.178717,1.253532,2.187304,5.481702,1.870743
1-Aug,0.425076,-2.788529,-0.601131,0.076158,-0.538663,-2.491735,-0.14505
1-Sep,0.472606,2.811946,1.234378,0.810719,1.225745,2.48496,1.190277
1-Oct,0.404656,3.29317,1.267682,0.685282,0.982091,2.039979,1.075932
1-Nov,0.397505,1.315498,0.130892,0.169542,-0.002065,0.748584,0.29834
1-Dec,0.468989,1.684802,0.90618,0.649037,0.718613,1.505654,0.92111
1-Jan,0.439433,1.984463,1.568101,1.035569,1.457207,1.214857,0.992628
1-Feb,0.382238,-0.697079,-0.241766,0.104192,-0.183986,-0.187829,0.317055
1-Mar,0.45911,0.251148,0.290987,0.513746,0.424441,0.560563,0.387725
1-Apr,0.455468,0.286445,0.452099,0.524263,0.496973,0.561928,0.610453
1-May,0.404989,1.935565,0.676899,0.606843,0.765527,1.894759,0.729824
1-Jun,0.437798,2.313394,0.696959,0.525078,0.614412,1.238953,0.392355
1-Jul,0.423696,-0.409025,0.371541,0.520899,0.422479,-0.694962,0.526172
1-Aug,0.437844,4.548806,2.26169,0.827898,1.113253,-0.824561,0.896802
1-Sep,0.488067,3.665958,2.711821,1.327056,2.347745,3.823975,1.222623
1-Oct,0.339085,-1.581004,0.280261,0.200393,-0.186785,-2.215258,-0.126493
1-Nov,0.345432,0.867187,-0.576755,0.337804,0.334459,3.099404,0.56495
