,BC Aggregate Bond
,"Return, %"
,Total
1-Jan,0.3062
1-Feb,0.2487
1-Mar,-1.1081
1-Apr,1.4969
1-May,0.9453
1-Jun,1.1869
1-Jul,2.6966
1-Aug,-0.8529
1-Sep,1.4748
1-Oct,1.4507
1-Nov,0.4604
1-Dec,1.0068
1-Jan,1.2838
1-Feb,-0.0753
1-Mar,0.3436
1-Apr,0.5219
1-May,0.9485
1-Jun,0.848
1-Jul,0.2127
1-Aug,1.6274
1-Sep,2.3416
1-Oct,-0.5275
1-Nov,0.5663
1-Dec,0.3006
1-Jan,0.7137
1-Feb,-1.7456
1-Mar,0.5541
1-Apr,0.3167
1-May,-0.8758
1-Jun,-0.3185
1-Jul,-0.4257
1-Aug,-0.0508
1-Sep,1.1609
1-Oct,0.3689
1-Nov,-0.0071
1-Dec,-0.4822
1-Jan,-0.3274
1-Feb,1.2093
1-Mar,1.3173
1-Apr,-0.2863
1-May,-0.0458
1-Jun,2.0804
1-Jul,0.9077
1-Aug,1.4493
1-Sep,0.6287
1-Oct,0.6617
1-Nov,1.635
1-Dec,1.855
1-Jan,1.6353
1-Feb,0.8711
1-Mar,0.502
1-Apr,-0.415
1-May,0.6031
1-Jun,0.3778
1-Jul,2.2357
1-Aug,1.1451
1-Sep,1.1652
1-Oct,2.0925
1-Nov,-1.3787
1-Dec,-0.635
2-Jan,0.8094
2-Feb,0.969
2-Mar,-1.6635
2-Apr,1.9392
2-May,0.8496
2-Jun,0.8646
2-Jul,1.2066
2-Aug,1.6884
2-Sep,1.6195
2-Oct,-0.4554
2-Nov,-0.0265
2-Dec,2.0655
3-Jan,0.0853
3-Feb,1.3836
3-Mar,-0.077
3-Apr,0.8251
3-May,1.8645
3-Jun,-0.1984
3-Jul,-3.3619
3-Aug,0.6639
3-Sep,2.647
3-Oct,-0.9326
3-Nov,0.2395
3-Dec,1.0176
4-Jan,0.8045
4-Feb,1.0824
4-Mar,0.7488
4-Apr,-2.6016
4-May,-0.4005
4-Jun,0.5651
4-Jul,0.9912
4-Aug,1.9075
4-Sep,0.2713
4-Oct,0.8385
4-Nov,-0.7976
4-Dec,0.9201
5-Jan,0.6279
5-Feb,-0.5903
5-Mar,-0.5136
5-Apr,1.3533
5-May,1.0818
5-Jun,0.5452
5-Jul,-0.9103
5-Aug,1.2819
5-Sep,-1.0301
5-Oct,-0.7913
5-Nov,0.4422
5-Dec,0.9507
6-Jan,0.0056
6-Feb,0.3319
6-Mar,-0.9812
6-Apr,-0.1812
6-May,-0.1066
6-Jun,0.2119
6-Jul,1.3521
6-Aug,1.5308
6-Sep,0.8783
6-Oct,0.6614
6-Nov,1.1601
6-Dec,-0.5803
7-Jan,-0.041
7-Feb,1.542
7-Mar,0.003
7-Apr,0.5392
7-May,-0.7578
7-Jun,-0.2958
7-Jul,0.8341
7-Aug,1.2256
7-Sep,0.7586
7-Oct,0.8982
7-Nov,1.7983
7-Dec,0.2808
8-Jan,1.6798
8-Feb,0.1387
8-Mar,0.3411
8-Apr,-0.2089
8-May,-0.7332
8-Jun,-0.0808
8-Jul,-0.0815
8-Aug,0.949
8-Sep,-1.3431
8-Oct,-2.3604
8-Nov,3.2549
8-Dec,3.7309
9-Jan,-0.8823
9-Feb,-0.3774
9-Mar,1.3901
9-Apr,0.478
9-May,0.7253
9-Jun,0.5687
9-Jul,1.6129
