,"Dodge & Cox Stock","Cash","Top Value","Top Growth","Mid Value","Mid Growth","Sm Value","Sm Growth"
01/01/86,1,0.6,0.75,0.22,2.54,1.92,0.87,2.28
02/01/86,-1.95,0.6,7.41,7.49,7.49,8.82,7.01,7.38
03/01/86,14.89,0.56,4.67,6.33,4.55,6,5.16,4.54
04/01/86,-1.39,0.52,-2.6,-0.35,-1.79,1.09,0.51,2.45
05/01/86,2.91,0.52,5.52,5.29,4.18,6.28,3.24,3.67
06/01/86,1.32,0.53,1.14,2.46,1.2,1.55,-0.63,0.32
07/01/86,-6.18,0.5,-3.49,-6.36,-5.54,-7.96,-7.99,-10.75
08/01/86,7.33,0.48,10.03,4.65,9.1,4.54,4.14,2.15
09/01/86,-6.59,0.44,-7.24,-10.64,-6.18,-8.29,-4.36,-8.14
10/01/86,5.58,0.44,5.47,5.6,4.46,6.04,2.87,5.08
11/01/86,-1.2,0.46,2.5,2.27,0.55,0.94,-0.23,-0.44
12/01/86,3.08,0.47,-3.13,-2.12,-2.73,-2.97,-2.42,-3.36
01/01/87,13.8,0.47,11.88,14.55,10.96,13.89,10.42,12.87
02/01/87,2.94,0.48,0.24,6.5,4.69,7.45,7.15,9.68
03/01/87,2.6,0.47,3.57,1.73,0.58,1.35,2.65,2.74
04/01/87,0.16,0.49,-0.47,-1.59,-2.42,-2.6,-2.63,-3.1
05/01/87,0.87,0.49,0.48,1.29,0.07,0.65,0.06,-0.7
06/01/87,5.72,0.49,5.18,5.02,4.04,4.09,2.64,2.48
07/01/87,4.95,0.49,3.91,4.85,4.1,4.55,3.84,2.39
08/01/87,3.96,0.51,4.05,4.79,3.13,4.13,2.99,2.89
09/01/87,-0.08,0.54,-1.9,-2.74,-1.71,-2.21,-1.69,-2
10/01/87,-19.86,0.55,-18.45,-21.67,-22.73,-27.47,-28.29,-32.95
11/01/87,-12.29,0.5,-8.2,-9.2,-4.67,-6.96,-4.2,-6.61
12/01/87,13.79,0.5,5.35,7.81,5.98,13.02,5.88,10.4
01/01/88,4.13,0.5,8.31,1.22,6.96,1.01,6.75,1.95
02/01/88,4.84,0.49,3.1,4.49,6.42,8.2,8.69,9.31
03/01/88,-3.73,0.49,-3.24,-4.75,-0.06,0.45,4.05,5.36
04/01/88,1.05,0.51,2.03,0,0.65,0.57,2.12,2.42
05/01/88,0.92,0.54,1.98,0.19,0.71,-1.77,-2.15,-3.3
06/01/88,5.63,0.57,3.55,4.84,6.42,7.56,6.9,7.38
07/01/88,-1.74,0.58,0.51,-0.75,-0.71,-3.79,-0.06,-1.86
08/01/88,-3.43,0.62,-2.53,-3.6,-1.1,-3.81,-1.51,-3.64
09/01/88,2.98,0.64,3.41,5.54,3.02,3.96,2.46,2.83
10/01/88,2.13,0.65,2.99,2.97,1.15,-0.6,-0.58,-1.66
11/01/88,-1.07,0.7,-0.46,-1.68,-2.39,-2.41,-2.79,-3.9
12/01/88,1.77,0.72,0.91,2.49,1.68,3.72,2.99,4.89
01/01/89,7.54,0.71,7.36,7.43,6.05,5.89,4.65,4.27
02/01/89,-3.03,0.74,-2.69,-2.94,0.21,-0.82,1.23,0.24
03/01/89,1.34,0.76,2.35,2.82,1.96,1.23,1.93,2.78
04/01/89,4.25,0.75,4.06,6.15,4.16,5.7,3.73,4.99
05/01/89,3.5,0.72,4.05,4.22,3.89,5.31,3.8,4.79
06/01/89,-1.08,0.7,-0.86,-0.41,0.37,-1.34,-1.31,-3.22
07/01/89,8.42,0.67,6.98,11,6.37,7.84,3.11,4.69
08/01/89,3.01,0.68,2.16,0.82,2.98,3.87,2,2.88
09/01/89,-1.76,0.66,-0.59,0.64,-1.53,-0.04,-0.52,1.15
10/01/89,-2.09,0.65,-2.61,-0.84,-5.11,-4.17,-6.39,-5.47
11/01/89,1.82,0.66,1.45,2.7,0.66,2.37,0.39,0.89
12/01/89,2.88,0.65,2.82,1.63,1.19,2.53,-0.35,1.13
01/01/90,-5.36,0.66,-5.72,-7.58,-7.1,-9.27,-7.09,-10.32
02/01/90,1.86,0.66,2.82,0.21,2.01,2.06,2.41,3.79
03/01/90,1.99,0.68,0.95,3.9,1.15,4.19,3.24,4.58
04/01/90,-2.98,0.67,-3.01,-0.75,-5.46,-2.77,-3.59,-2.97
05/01/90,9.23,0.66,8.41,10.44,8.1,10.28,5.13,8.92
06/01/90,-1.44,0.66,-2.34,1.03,-2.14,1.24,-0.1,0.59
07/01/90,-1.23,0.65,0.13,-0.2,-2.83,-3.19,-4.22,-4.54
08/01/90,-9.87,0.64,-8.12,-8.96,-10.15,-11.63,-12.25,-14.48
09/01/90,-5.68,0.63,-3.38,-4.99,-7.85,-6.77,-8.31,-9.47
10/01/90,-2.01,0.62,-0.13,1.05,-4.05,-1.87,-6.6,-5.61
11/01/90,8.52,0.6,6.07,5.63,8.87,10.7,6.05,9.19
12/01/90,3.52,0.58,1.82,3.24,4.14,4.54,3.05,4.77
01/01/91,5.65,0.53,3.69,4.4,6.25,7.5,8.6,9.39
02/01/91,6.64,0.51,6.01,7.67,7.99,8.8,10.92,11.49
03/01/91,0.4,0.5,0.58,3.54,3.34,5.23,6.98,7.05
04/01/91,0.73,0.48,0.24,-0.33,1.75,-0.89,0.77,-1.19
05/01/91,6.08,0.47,3.33,4.27,4.52,5.06,4.69,4.83
06/01/91,-6.48,0.48,-4.33,-4.52,-3.99,-5.45,-4.68,-6.81
07/01/91,3.63,0.48,3.83,5.45,4.81,5.05,2.6,4.53
08/01/91,1.85,0.46,1.2,3.4,2.9,3.13,3.04,4.41
09/01/91,-1.47,0.45,-0.65,-2.19,-0.89,-0.12,0.12,1.51
10/01/91,1.08,0.43,1.5,1.36,1.92,2.24,1.14,4.26
11/01/91,-6.34,0.39,-5.39,-2.33,-4.69,-3.3,-4.06,-5.22
12/01/91,9.14,0.35,7.58,14.34,9.72,13.43,6.48,9.58
01/01/92,0.36,0.33,-1.3,-3.36,2.57,0.89,8.37,7.86
02/01/92,3.22,0.33,1.64,0.14,3.73,0.22,4.77,1.07
03/01/92,-2.38,0.35,-1.41,-2.32,-1.52,-4.11,-1.09,-5.75
04/01/92,2.99,0.32,5.42,1.49,2.55,-1.91,-1.39,-5.81
05/01/92,0.93,0.31,0.24,0.89,0.93,0.2,2.72,-0.22
06/01/92,-2.23,0.31,-0.53,-2.38,-0.77,-2.98,-3.24,-6.38
07/01/92,3.1,0.27,3.77,4.49,4.01,4.46,3.77,3.14
08/01/92,-3.83,0.27,-3.14,-1.2,-2.92,-1.31,-1.95,-3.85
09/01/92,2.52,0.24,1,0.87,2,2.19,1.89,2.79
10/01/92,0.7,0.24,-1.17,1.06,2.09,3.01,2.33,4.11
11/01/92,4.04,0.27,2.67,3.76,4.22,6.32,6.19,9.33
12/01/92,1.27,0.27,1.84,0.71,3.19,1.92,4.15,2.74
01/01/93,1.82,0.26,3.16,-1.87,2.53,1.18,5.31,1.24
02/01/93,3.41,0.25,4.44,-1.1,2.16,-3.08,0.4,-5.43
03/01/93,2.4,0.25,2.6,1.62,3.47,2.9,3.79,2.58
04/01/93,1.15,0.24,-0.97,-3.97,-1.76,-4.11,-2.4,-3.17
05/01/93,3.02,0.25,1.85,3.11,2.25,4.72,3.15,6
06/01/93,0.61,0.26,2.28,-1.08,2.08,-0.41,0.94,0.24
07/01/93,0,0.26,1.13,-2.39,1.1,-0.32,1.72,1
08/01/93,4.16,0.26,3.73,3.38,3.41,5.81,3.91,4.79
09/01/93,-0.73,0.25,0.4,-1.58,-0.26,1.2,2.4,3.3
