,"Dodge & Cox Stock"
01/01/86,1
02/01/86,-1.95
03/01/86,14.89
04/01/86,-1.39
05/01/86,2.91
06/01/86,1.32
07/01/86,-6.18
08/01/86,7.33
09/01/86,-6.59
10/01/86,5.58
11/01/86,-1.2
12/01/86,3.08
01/01/87,13.8
02/01/87,2.94
03/01/87,2.6
04/01/87,0.16
05/01/87,0.87
06/01/87,5.72
07/01/87,4.95
08/01/87,3.96
09/01/87,-0.08
10/01/87,-19.86
11/01/87,-12.29
12/01/87,13.79
01/01/88,4.13
02/01/88,4.84
03/01/88,-3.73
04/01/88,1.05
05/01/88,0.92
06/01/88,5.63
07/01/88,-1.74
08/01/88,-3.43
09/01/88,2.98
10/01/88,2.13
11/01/88,-1.07
12/01/88,1.77
01/01/89,7.54
02/01/89,-3.03
03/01/89,1.34
04/01/89,4.25
05/01/89,3.5
06/01/89,-1.08
07/01/89,8.42
08/01/89,3.01
09/01/89,-1.76
10/01/89,-2.09
11/01/89,1.82
12/01/89,2.88
01/01/90,-5.36
02/01/90,1.86
03/01/90,1.99
04/01/90,-2.98
05/01/90,9.23
06/01/90,-1.44
07/01/90,-1.23
08/01/90,-9.87
09/01/90,-5.68
10/01/90,-2.01
11/01/90,8.52
12/01/90,3.52
01/01/91,5.65
02/01/91,6.64
03/01/91,0.4
04/01/91,0.73
05/01/91,6.08
06/01/91,-6.48
07/01/91,3.63
08/01/91,1.85
09/01/91,-1.47
10/01/91,1.08
11/01/91,-6.34
12/01/91,9.14
01/01/92,0.36
02/01/92,3.22
03/01/92,-2.38
04/01/92,2.99
05/01/92,0.93
06/01/92,-2.23
07/01/92,3.1
08/01/92,-3.83
09/01/92,2.52
10/01/92,0.7
11/01/92,4.04
12/01/92,1.27
01/01/93,1.82
02/01/93,3.41
03/01/93,2.4
04/01/93,1.15
05/01/93,3.02
06/01/93,0.61
07/01/93,0
08/01/93,4.16
09/01/93,-0.73
10/01/93,0.76
11/01/93,-1.08
12/01/93,1.58
01/01/94,5.69
02/01/94,-2.24
03/01/94,-3.86
04/01/94,1.36
05/01/94,1.81
06/01/94,-2.45
07/01/94,3.68
08/01/94,4.7
09/01/94,-2.88
10/01/94,2.4
11/01/94,-3.82
12/01/94,1.28
01/01/95,1.84
02/01/95,4.33
03/01/95,3.34
04/01/95,2.98
05/01/95,4.29
06/01/95,1.07
07/01/95,4.01
08/01/95,1.49
09/01/95,2.3
10/01/95,-3.05
11/01/95,5.16
12/01/95,1.77
01/01/96,2.43
02/01/96,1.47
03/01/96,2.27
04/01/96,3.31
05/01/96,1.24
06/01/96,-1.27
07/01/96,-4.19
08/01/96,3.57
09/01/96,3.12
10/01/96,1.61
11/01/96,8.63
12/01/96,-1.37
01/01/97,3.66
02/01/97,0.74
03/01/97,-1.89
04/01/97,3.83
05/01/97,6.6
06/01/97,4.28
07/01/97,8.06
08/01/97,-2.55
09/01/97,4.68
10/01/97,-3.98
11/01/97,1.55
12/01/97,1.02
01/01/98,-0.53
02/01/98,5.28
03/01/98,4.78
04/01/98,1.48
05/01/98,-2.67
06/01/98,0.18
07/01/98,-5.19
08/01/98,-13.58
09/01/98,4.61
10/01/98,7.78
11/01/98,5.06
12/01/98,0.03
01/01/99,-0.03
02/01/99,-1.09
03/01/99,5.72
04/01/99,11.71
05/01/99,-0.12
06/01/99,4.55
07/01/99,-2.78
08/01/99,-1.42
09/01/99,-4.41
10/01/99,1.39
11/01/99,1.45
12/01/99,4.63
01/01/00,-4.96
02/01/00,-5.05
03/01/00,11.11
04/01/00,2.45
05/01/00,2.13
06/01/00,-6.55
07/01/00,1.79
08/01/00,4.84
09/01/00,-0.44
10/01/00,3.16
11/01/00,-0.3
12/01/00,8.56
01/01/09,2.09
02/01/09,0.23
03/01/09,-1.35
04/01/09,6.2
05/01/09,3.05
06/01/09,-1.95
07/01/09,0.83
08/01/09,-1.88
09/01/09,-9.26
10/01/09,1.09
11/01/09,8.16
12/01/09,2.83
01/02/09,-0.19
02/02/09,0.81
03/02/09,4.25
04/02/09,-3.15
05/02/09,1.36
06/02/09,-4.46
07/02/09,-8.91
08/02/09,2.34
09/02/09,-9.72
10/02/09,3.59
11/02/09,8.2
