,Sine,S&P 500 Index,BC Aggregate Bond
1/1/1978,-2.983,-5.731,-0.235
2/1/1978,-0.876602429,-2.02,0.3871
3/1/1978,1.777154069,2.971,0.3185
4/1/1978,5.239183398,9.011,0.142
5/1/1978,0.334888012,0.86,-0.4506
6/1/1978,-0.835226501,-1.324,-0.0251
7/1/1978,4.181951893,5.836,1.1402
8/1/1978,2.545284844,3.016,1.5833
9/1/1978,-0.227815709,-0.31,-0.0408
10/1/1978,-6.669798472,-8.74,-1.4123
11/1/1978,1.826956001,2.126,0.9771
12/1/1978,1.251846394,1.945,-0.9594
1/1/1979,3.874589991,4.432,1.8713
2/1/1979,-2.658143107,-3.208,-0.4226
3/1/1979,5.09915415,5.98,1.0284
4/1/1979,0.491396249,0.615,-0.1615
5/1/1979,-1.606027653,-2.178,1.8693
6/1/1979,4.070084374,4.339,2.1766
7/1/1979,1.192744205,1.332,0.0466
8/1/1979,5.20325006,5.765,-0.2564
9/1/1979,0.322371471,0.44,-1.044
10/1/1979,-6.369331281,-6.39,-6.0782
11/1/1979,4.621934314,4.72,2.9172
12/1/1979,2.119586027,2.204,0.2687
1/1/1980,5.898364754,6.213,-3.0463
2/1/1980,-0.162579548,-0.012,-5.9153
3/1/1980,-9.571868438,-9.751,0.0801
4/1/1980,4.704490619,4.623,11.3365
5/1/1980,5.142867327,5.146,4.7154
6/1/1980,3.159340686,3.164,1.8852
7/1/1980,6.947694248,6.959,-2.0675
8/1/1980,1.010503652,1.011,-3.5798
9/1/1980,2.941149509,2.942,-1.0472
10/1/1980,2.017033578,2.022,-1.1464
11/1/1980,10.60583369,10.651,-0.1865
12/1/1980,-2.967014846,-3.013,2.7301
1/1/1981,-4.148407909,-4.204,0.0474
2/1/1981,1.646037845,1.716,-1.8973
3/1/1981,3.943779626,3.987,2.3773
4/1/1981,-1.993890728,-1.936,-3.5658
5/1/1981,0.405359919,0.254,3.5915
6/1/1981,-0.598894865,-0.621,-0.2285
7/1/1981,0.061975999,0.208,-1.927
8/1/1981,-5.480692971,-5.78,-2.1098
9/1/1981,-4.458818615,-4.924,-0.0658
10/1/1981,5.450244228,5.4,5.8528
11/1/1981,4.68E+00,4.121,8.5232
12/1/1981,-2.732014327,-2.562,-3.7405
1/1/1982,-0.986383845,-1.3,0.6327
2/1/1982,-4.225485451,-5.592,1.9529
3/1/1982,-0.164688979,-0.525,1.2697
4/1/1982,4.143811828,4.525,2.8014
5/1/1982,-2.192056679,-3.412,1.6239
6/1/1982,-1.522291,-1.505,-1.5705
7/1/1982,-0.034525316,-1.773,4.299
8/1/1982,10.07133514,12.136,5.4579
9/1/1982,2.176280112,1.244,4.0478
10/1/1982,9.296479193,11.51,5.2968
11/1/1982,2.874328761,4.039,0.9771
12/1/1982,1.960516502,1.927,2.0098
1/1/1983,2.194187406,3.719,0.1683
2/1/1983,2.554157877,2.292,2.8691
3/1/1983,2.049064891,3.694,0.2614
4/1/1983,5.313183378,7.882,2.7872
5/1/1983,-1.104260206,-0.872,-1.3109
6/1/1983,1.793904313,3.89,0.1071
7/1/1983,-2.609616989,-2.946,-2.3649
8/1/1983,1.014368513,1.499,0.6959
9/1/1983,2.58362891,1.379,3.2979
10/1/1983,-0.169088721,-1.156,0.3582
11/1/1983,1.457517249,2.109,1.1444
12/1/1983,-0.02351953,-0.523,0.192
1/1/1984,1.331485403,-0.558,2.0617
2/1/1984,-1.28406231,-3.519,-0.5126
3/1/1984,-0.451305648,1.732,-1.1223
4/1/1984,0.043711442,0.923,-0.196
5/1/1984,-3.591632029,-5.561,-3.1174
6/1/1984,1.431599816,2.145,1.2806
7/1/1984,3.603382547,-1.24,4.4994
8/1/1984,2.979531826,11.045,1.6839
9/1/1984,2.089121333,0.024,2.375
10/1/1984,3.834796937,0.385,4.2427
11/1/1984,1.524411316,-1.12,1.7887
12/1/1984,1.551038371,2.635,1.4606
1/1/1985,2.630632547,7.793,2.2764
2/1/1985,-1.873486838,1.227,-2.0453
3/1/1985,1.955884521,0.063,2.0387
4/1/1985,1.998211989,-0.09,2.0683
5/1/1985,5.239016689,5.776,5.2257
6/1/1985,1.065791931,1.565,1.0571
7/1/1985,-0.346400208,-0.144,-0.3487
8/1/1985,1.861797136,-0.857,1.8798
9/1/1985,0.591236876,-3.126,0.603
10/1/1985,2.098454326,4.619,2.096
11/1/1985,2.403070986,6.859,2.4029
12/1/1985,3.057229913,4.838,3.0566
1/1/1986,0.556307095,0.56,0.5563
2/1/1986,3.959183001,7.472,3.9425
3/1/1986,3.127318401,5.581,3.1056
4/1/1986,0.506651195,-1.125,0.5299
5/1/1986,-1.762846167,5.317,-1.9113
6/1/1986,2.591543276,1.691,2.6177
7/1/1986,0.644980523,-5.591,0.8852
8/1/1986,2.717238112,7.414,2.485
9/1/1986,-1.41109498,-8.268,-0.9868
10/1/1986,1.750518892,5.77,1.4455
11/1/1986,1.485290654,2.429,1.3989
12/1/1986,0.087624036,-2.553,0.3753
1/1/1987,2.779534734,13.467,1.4096
2/1/1987,1.12E+00,3.949,0.6934
3/1/1987,0.040561798,2.886,-0.4507
4/1/1987,-2.435219968,-0.887,-2.742
5/1/1987,-0.159598575,0.865,-0.3912
6/1/1987,2.126381792,5.051,1.3762
7/1/1987,1.078791853,5.067,-0.0768
8/1/1987,0.513273593,3.729,-0.5351
9/1/1987,-2.145890253,-2.191,-2.1294
10/1/1987,-3.719156045,-21.534,3.5615
11/1/1987,-2.030085354,-8.242,0.8009
12/1/1987,3.463001221,7.606,1.3621
1/1/1988,3.764306062,4.2066,3.5152
2/1/1988,2.522194975,4.6599,1.187
3/1/1988,-1.819210983,-3.0924,-0.9384
4/1/1988,0.173375132,1.1047,-0.5396
5/1/1988,0.029428298,0.8581,-0.6721
6/1/1988,3.462180643,4.5838,2.4126
7/1/1988,-0.451748647,-0.3815,-0.5244
8/1/1988,-1.693813612,-3.4049,0.2621
9/1/1988,3.374587322,4.2534,2.2639
10/1/1988,2.430581488,2.8225,1.8826
11/1/1988,-1.342469867,-1.425,-1.2147
12/1/1988,1.143520343,1.7443,0.1125
1/1/1989,5.288829673,7.3098,1.4388
2/1/1989,-1.917213778,-2.4801,-0.7248
3/1/1989,1.758548568,2.3204,0.4323
4/1/1989,4.34913109,5.205,2.0925
5/1/1989,3.687026366,4.0457,2.6277
6/1/1989,0.269149477,-0.5671,3.0448
7/1/1989,7.573900535,9.029,2.1256
8/1/1989,1.29946379,1.955,-1.4815
9/1/1989,-0.248442602,-0.4058,0.5117
10/1/1989,-1.589631185,-2.322,2.4623
11/1/1989,1.892189534,2.0394,0.9531
12/1/1989,2.147755142,2.4014,0.2675
1/1/1990,-6.143486841,-6.7135,-1.1883
2/1/1990,1.212981161,1.2993,0.3235
3/1/1990,2.446414879,2.6382,0.0736
4/1/1990,-2.39637617,-2.4945,-0.9161
5/1/1990,9.405110213,9.7489,2.9608
6/1/1990,-0.582773869,-0.6745,1.6045
7/1/1990,-0.26651938,-0.3193,1.3833
8/1/1990,-8.862403699,-9.039,-1.3354
9/1/1990,-4.77536891,-4.8667,0.8272
10/1/1990,-0.408225299,-0.4258,1.2696
11/1/1990,6.438791895,6.4643,2.1525
12/1/1990,2.78358149,2.7869,1.5581
1/1/1991,4.351429367,4.3537,1.2361
2/1/1991,7.15127504,7.1513,0.8536
3/1/1991,2.420582355,2.4215,0.6879
4/1/1991,0.238749584,0.2368,1.0833
5/1/1991,4.294156855,4.314,0.5847
6/1/1991,-4.537821048,-4.5812,-0.0508
7/1/1991,4.611705104,4.661,1.3867
8/1/1991,2.364737471,2.3692,2.164
9/1/1991,-1.563954493,-1.6736,2.0263
10/1/1991,1.335649177,1.3446,1.1133
11/1/1991,-3.787551379,-4.0295,0.9169
12/1/1991,10.92650365,11.4367,2.9698
1/1/1992,-1.827017085,-1.8636,-1.3604
2/1/1992,1.239410911,1.295,0.6502
3/1/1992,-1.805645276,-1.9448,-0.5637
4/1/1992,2.67784101,2.9352,0.7223
