,Portfolio,Cash,Top Value
1/1/1986,0.7072574,0.602858,0.752
2/1/1986,5.3644538,0.600846,7.406
3/1/1986,3.4364676,0.562892,4.668
4/1/1986,-1.6632078,0.517974,-2.598
5/1/1986,4.018058,0.52286,5.516
6/1/1986,0.9537361,0.530787,1.135
7/1/1986,-2.2919888,0.498704,-3.488
8/1/1986,7.1664389,0.475463,10.034
9/1/1986,-4.9365054,0.442982,-7.242
10/1/1986,3.9605163,0.440721,5.469
11/1/1986,1.8848566,0.456522,2.497
12/1/1986,-2.0518653,0.468449,-3.132
1/1/1987,8.4541159,0.465053,11.878
2/1/1987,0.3132222,0.477074,0.243
3/1/1987,2.6441524,0.474508,3.574
4/1/1987,-0.1779948,0.491684,-0.465
5/1/1987,0.4840186,0.491062,0.481
6/1/1987,3.7709224,0.485408,5.179
7/1/1987,2.8822983,0.493661,3.906
8/1/1987,2.9858978,0.512326,4.046
9/1/1987,-1.1686928,0.540024,-1.901
10/1/1987,-12.7519672,0.552776,-18.454
11/1/1987,-5.5918646,0.496118,-8.201
12/1/1987,3.8963309,0.495103,5.354
1/1/1988,5.9692971,0.500657,8.313
2/1/1988,2.3178666,0.488222,3.102
3/1/1988,-2.1196362,0.487546,-3.237
4/1/1988,1.571845,0.50515,2.029
5/1/1988,1.2614155,0.539831,1.983
6/1/1988,2.0594195,0.572839,3.546
7/1/1988,0.543471,0.575942,0.511
8/1/1988,-0.9513115,0.624377,-2.527
9/1/1988,2.0241395,0.638279,3.41
10/1/1988,1.8189955,0.649991,2.988
11/1/1988,0.120235,0.69547,-0.455
12/1/1988,0.8119095,0.718819,0.905
1/1/1989,4.0342795,0.711559,7.357
2/1/1989,-0.9791965,0.735607,-2.694
3/1/1989,1.5553365,0.760673,2.35
4/1/1989,2.4017985,0.746597,4.057
5/1/1989,2.3839685,0.721937,4.046
6/1/1989,-0.082101,0.698798,-0.863
7/1/1989,3.8285355,0.674071,6.983
8/1/1989,1.419487,0.682974,2.156
9/1/1989,0.036122,0.661244,-0.589
10/1/1989,-0.978423,0.653154,-2.61
11/1/1989,1.0515595,0.655119,1.448
12/1/1989,1.73803,0.65406,2.822
1/1/1990,-2.530288,0.656424,-5.717
2/1/1990,1.743533,0.664066,2.823
3/1/1990,0.812787,0.677574,0.948
4/1/1990,-1.171534,0.668932,-3.012
5/1/1990,4.537005,0.66401,8.41
6/1/1990,-0.840645,0.66271,-2.344
7/1/1990,0.3893195,0.653639,0.125
8/1/1990,-3.741818,0.635364,-8.119
9/1/1990,-1.3762075,0.631585,-3.384
10/1/1990,0.241576,0.615152,-0.132
11/1/1990,3.3379085,0.603817,6.072
12/1/1990,1.196664,0.575328,1.818
1/1/1991,2.113079,0.534158,3.692
2/1/1991,3.258928,0.507856,6.01
3/1/1991,0.541696,0.504392,0.579
4/1/1991,0.361773,0.483546,0.24
5/1/1991,1.899775,0.46855,3.331
6/1/1991,-1.923955,0.47809,-4.326
7/1/1991,2.15449,0.48198,3.827
8/1/1991,0.8255015,0.456003,1.195
9/1/1991,-0.0985875,0.447825,-0.645
10/1/1991,0.964402,0.427804,1.501
11/1/1991,-2.5000105,0.393979,-5.394
12/1/1991,3.9647085,0.347417,7.582
1/1/1992,-0.4846955,0.325609,-1.295
2/1/1992,0.985453,0.326906,1.644
3/1/1992,-0.5304835,0.345033,-1.406
4/1/1992,2.87046,0.31792,5.423
5/1/1992,0.273308,0.311616,0.235
6/1/1992,-0.10912,0.31276,-0.531
7/1/1992,2.0213925,0.271785,3.771
8/1/1992,-1.438155,0.26769,-3.144
9/1/1992,0.6209475,0.242895,0.999
10/1/1992,-0.4628245,0.243351,-1.169
11/1/1992,1.4693205,0.269641,2.669
12/1/1992,1.058367,0.274734,1.842
1/1/1993,1.7084445,0.259889,3.157
2/1/1993,2.34587,0.25074,4.441
3/1/1993,1.4276905,0.252381,2.603
4/1/1993,-0.3602265,0.244547,-0.965
5/1/1993,1.0511685,0.251337,1.851
6/1/1993,1.272686,0.262372,2.283
7/1/1993,0.695118,0.259236,1.131
8/1/1993,1.993283,0.258566,3.728
9/1/1993,0.3249895,0.249979,0.4
10/1/1993,0.399932,0.257864,0.542
11/1/1993,-0.82896,0.26508,-1.923
12/1/1993,0.6860775,0.261155,1.111
1/1/1994,2.2665215,0.254043,4.279
2/1/1994,-2.0285665,0.281867,-4.339
3/1/1994,-1.663468,0.304064,-3.631
4/1/1994,1.2455455,0.318091,2.173
5/1/1994,1.0470075,0.357015,1.737
6/1/1994,-1.1763255,0.355349,-2.708
7/1/1994,1.4974085,0.373817,2.621
8/1/1994,1.393117,0.383234,2.403
9/1/1994,-1.5159685,0.396063,-3.428
10/1/1994,1.3308885,0.422777,2.239
11/1/1994,-1.6880245,0.455951,-3.832
12/1/1994,0.803695,0.48539,1.122
1/1/1995,1.8571785,0.495357,3.219
2/1/1995,1.921745,0.49349,3.35
3/1/1995,1.429676,0.489352,2.37
4/1/1995,2.114063,0.484126,3.744
5/1/1995,2.399783,0.485566,4.314
6/1/1995,0.650162,0.466324,0.834
7/1/1995,1.972764,0.466028,3.4795
8/1/1995,0.799902,0.460704,1.1391
9/1/1995,2.3661725,0.450445,4.2819
10/1/1995,-0.0351785,0.451743,-0.5221
11/1/1995,2.6614505,0.457601,4.8653
12/1/1995,1.8246285,0.440357,3.2089
1/1/1996,1.93319,0.42788,3.4385
2/1/1996,0.537776,0.411752,0.6638
3/1/1996,0.9653735,0.423047,1.5077
4/1/1996,0.279959,0.390918,0.169
5/1/1996,0.908634,0.428568,1.3887
6/1/1996,0.252272,0.435644,0.0689
7/1/1996,-1.4309985,0.441203,-3.3032
8/1/1996,1.3254365,0.431673,2.2192
9/1/1996,2.2801125,0.437025,4.1232
10/1/1996,2.445011,0.426722,4.4633
11/1/1996,4.0737585,0.428917,7.7186
12/1/1996,-0.6393755,0.401749,-1.6805
1/1/1997,3.0416625,0.429525,5.6538
2/1/1997,0.8956915,0.426483,1.3649
3/1/1997,-1.7072445,0.438211,-3.8527
4/1/1997,2.711965,0.44193,4.982
5/1/1997,2.9399495,0.435399,5.4445
6/1/1997,2.491062,0.423024,4.5591
7/1/1997,4.0009425,0.431685,7.5702
8/1/1997,-2.149828,0.437544,-4.7372
9/1/1997,3.1951085,0.424617,5.9656
10/1/1997,-1.122156,0.422988,-2.6673
11/1/1997,2.697344,0.439088,4.9556
12/1/1997,1.4607095,0.447719,2.4737
1/1/1998,-0.3542,0.4408,-1.1492
2/1/1998,3.6021675,0.447035,6.7573
3/1/1998,3.5201765,0.440653,6.5997
4/1/1998,0.8548145,0.436129,1.2735
5/1/1998,-0.31338,0.44004,-1.0668
6/1/1998,1.0903335,0.436667,1.744
7/1/1998,0.200075,0.43365,-0.0335
8/1/1998,-7.4305655,0.429868,-15.290999
9/1/1998,3.048467,0.406634,5.6903
10/1/1998,4.3663135,0.348327,8.3843
11/1/1998,2.8076695,0.387539,5.2278
12/1/1998,1.981365,0.38573,3.577
1/1/1999,1.3520205,0.378941,2.3251
2/1/1999,-0.327825,0.38855,-1.0442
3/1/1999,1.379359,0.390918,2.3678
4/1/1999,4.8283125,0.372425,9.2842
5/1/1999,-0.691543,0.394714,-1.7778
6/1/1999,2.0514285,0.405257,3.6976
7/1/1999,-1.3555955,0.399809,-3.111
8/1/1999,-1.718062,0.419176,-3.8553
9/1/1999,-1.186912,0.411376,-2.7852
10/1/1999,3.711233,0.427766,6.9947
11/1/1999,0.0536455,0.447091,-0.3398
12/1/1999,0.0211395,0.460779,-0.4185
1/1/2000,-0.8222835,0.472933,-2.1175
2/1/2000,-4.1221455,0.492009,-8.7363
3/1/2000,6.369345,0.50329,12.2354
4/1/2000,-0.664353,0.497694,-1.8264
5/1/2000,0.640145,0.51709,0.7632
6/1/2000,-2.2172545,0.503991,-4.9385
7/1/2000,0.6719345,0.523969,0.8199
8/1/2000,2.936799,0.537598,5.336
9/1/2000,0.7133355,0.528871,0.8978
10/1/2000,1.608858,0.538016,2.6797
11/1/2000,-2.0627915,0.544317,-4.6699
12/1/2000,1.9968405,0.526481,3.4672
1/1/2009,0.5791755,0.456651,0.7017
2/1/2009,-1.678468,0.425364,-3.7823
3/1/2009,-1.739971,0.388658,-3.8686
4/1/2009,2.4930785,0.340657,4.6455
5/1/2009,1.1486495,0.314199,1.9831
6/1/2009,-1.1537385,0.302523,-2.61
7/1/2009,0.0865535,0.308307,-0.1352
8/1/2009,-2.299272,0.291556,-4.8901
9/1/2009,-2.8722305,0.249139,-5.9936
10/1/2009,-0.6138015,0.188897,-1.4165
11/1/2009,2.747883,0.164466,5.3313
12/1/2009,0.8826465,0.147993,1.6173
1/2/2009,-0.6855795,0.141841,-1.513
2/2/2009,-0.1582925,0.149315,-0.4659
3/2/2009,2.361543,0.156486,4.5666
4/2/2009,-2.3798715,0.148457,-4.9082
5/2/2009,0.4765895,0.149979,0.8032
6/2/2009,-3.0891775,0.147345,-6.3257
7/2/2009,-4.474438,0.145124,-9.094
8/2/2009,0.3640385,0.139977,0.5881
9/2/2009,-5.699126,0.139248,-11.5375
10/2/2009,4.654694,0.138788,9.1706
11/2/2009,3.2048665,0.108033,6.3017
12/2/2009,-2.5063475,0.103005,-5.1157
1/3/2009,-1.089544,0.100512,-2.2796
2/3/2009,-1.484793,0.100014,-3.0696
3/3/2009,0.095769,0.096738,0.0948
4/3/2009,4.694896,0.098892,9.2909
5/3/2009,2.8009275,0.092455,5.5094
6/3/2009,0.7808305,0.080361,1.4813
7/3/2009,0.4449455,0.077791,0.8121
8/3/2009,0.394405,0.08221,0.7066
9/3/2009,-0.4908895,0.081221,-1.063
10/3/2009,2.8301385,0.079577,5.5807
11/3/2009,0.3729325,0.080565,0.6653
12/3/2009,3.5453275,0.076955,7.0137
1/4/2009,0.719732,0.076764,1.3627
2/4/2009,1.0363795,0.079459,1.9933
3/4/2009,-0.6346315,0.080837,-1.3501
4/4/2009,-0.7603295,0.080641,-1.6013
5/4/2009,0.2009735,0.088947,0.313
6/4/2009,0.9532965,0.110693,1.7959
7/4/2009,-0.355008,0.116184,-0.8262
8/4/2009,0.734525,0.12935,1.3397
9/4/2009,0.547749,0.143898,0.9516
10/4/2009,0.7609365,0.150973,1.3709
11/4/2009,2.2379595,0.180219,4.2957
12/4/2009,1.6481765,0.190653,3.1057
1/5/2009,0.0315526,0.203614,-1.517
2/5/2009,0.5251387,0.224243,3.2332
3/5/2009,0.028643,0.23907,-1.8652
4/5/2009,0.0775743,0.241327,-1.3962
5/5/2009,0.3852602,0.249078,1.6109
6/5/2009,0.2451264,0.260096,0.1104
7/5/2009,0.4588667,0.279063,2.0771
8/5/2009,0.2426782,0.300798,-0.2804
9/5/2009,0.413057,0.30053,1.4258
10/5/2009,0.0618389,0.325421,-2.3104
11/5/2009,0.6221221,0.340369,3.1579
12/5/2009,0.3508842,0.338838,0.4593
1/6/2009,0.701194,0.36936,3.6877
2/6/2009,0.3957827,0.388203,0.464
3/6/2009,0.4545036,0.394404,0.9954
4/6/2009,0.6842473,0.400897,3.2344
5/6/2009,0.1003361,0.412729,-2.7112
6/6/2009,0.4445973,0.421097,0.6561
7/6/2009,0.7496278,0.434242,3.5881
8/6/2009,0.5180539,0.435771,1.2586
9/6/2009,0.6053409,0.421401,2.2608
10/6/2009,0.6848065,0.429285,2.9845
11/6/2009,0.5828164,0.432496,1.9357
12/6/2009,0.6510135,0.423815,2.6958
1/7/2009,0.4540832,0.435248,0.6236
2/7/2009,0.1608573,0.440597,-2.3568
3/7/2009,0.5618355,0.434295,1.7097
4/7/2009,0.7742012,0.426068,3.9074
5/7/2009,0.7428545,0.417705,3.6692
6/7/2009,0.1510222,0.406058,-2.1443
7/7/2009,-0.0460958,0.424038,-4.2773
8/7/2009,0.4954079,0.368831,1.6346
9/7/2009,0.6928764,0.350196,3.777
10/7/2009,0.2995105,0.345645,-0.1157
11/7/2009,-0.2096207,0.295377,-4.7546
12/7/2009,0.1529659,0.272151,-0.9197
1/8/2009,-0.1672475,0.238425,-3.8183
2/8/2009,-0.2763744,0.191784,-4.4898
3/8/2009,0.0418406,0.119834,-0.6601
4/8/2009,0.5477461,0.113129,4.4593
5/8/2009,-0.0057603,0.154133,-1.4448
6/8/2009,-0.8317592,0.163712,-9.791
7/8/2009,0.1262972,0.144408,-0.0367
8/8/2009,0.261129,0.15421,1.2234
9/8/2009,-0.5569612,0.119832,-6.6481
10/8/2009,-1.4527305,0.066855,-15.129
11/8/2009,-0.5875386,0.025446,-6.1044
12/8/2009,0.0209058,0.003362,0.1788
1/9/2009,-1.1808381,0.011991,-11.9163
2/9/2009,-1.3439305,0.026444,-13.677301
3/9/2009,0.86689,0.0205,8.4844
