	Dodge & Cox Stock	Cash	Top Value	Top Growth	Mid Value	Mid Growth	Sm Value	Sm Growth
	Return, %	Return, %	Return, %	Return, %	Return, %	Return, %	Return, %	Return, %
	Total	Total	Total	Total	Total	Total	Total	Total
Jan-86	1.001600	0.602858	0.752000	0.223000	2.540000	1.923000	0.869000	2.284000
Feb-86	-1.951400	0.600846	7.406000	7.491000	7.494000	8.816000	7.005000	7.376000
Mar-86	14.885300	0.562892	4.668000	6.329000	4.546000	6.004000	5.155000	4.541000
Apr-86	-1.390600	0.517974	-2.598000	-0.351000	-1.788000	1.092000	0.505000	2.449000
May-86	2.914500	0.522860	5.516000	5.293000	4.183000	6.277000	3.243000	3.665000
Jun-86	1.320900	0.530787	1.135000	2.461000	1.198000	1.548000	-0.627000	0.321000
Jul-86	-6.178100	0.498704	-3.488000	-6.356000	-5.537000	-7.958000	-7.992000	-10.747000
Aug-86	7.327300	0.475463	10.034000	4.647000	9.100000	4.537000	4.141000	2.152000
Sep-86	-6.594200	0.442982	-7.242000	-10.642000	-6.179000	-8.287000	-4.357000	-8.140000
Oct-86	5.579000	0.440721	5.469000	5.595000	4.455000	6.037000	2.868000	5.077000
Nov-86	-1.198200	0.456522	2.497000	2.274000	0.554000	0.939000	-0.232000	-0.440000
Dec-86	3.075100	0.468449	-3.132000	-2.122000	-2.734000	-2.970000	-2.418000	-3.359000
Jan-87	13.802899	0.465053	11.878000	14.553000	10.960000	13.890000	10.416000	12.867001
Feb-87	2.942000	0.477074	0.243000	6.502000	4.694000	7.450000	7.147000	9.683000
Mar-87	2.598800	0.474508	3.574000	1.731000	0.582000	1.350000	2.654000	2.743000
Apr-87	0.158600	0.491684	-0.465000	-1.594000	-2.416000	-2.600000	-2.628000	-3.096000
May-87	0.870700	0.491062	0.481000	1.287000	0.071000	0.645000	0.062000	-0.703000
Jun-87	5.722500	0.485408	5.179000	5.020000	4.042000	4.093000	2.639000	2.480000
Jul-87	4.952700	0.493661	3.906000	4.854000	4.102000	4.551000	3.843000	2.392000
Aug-87	3.960200	0.512326	4.046000	4.787000	3.134000	4.126000	2.986000	2.891000
Sep-87	-0.076100	0.540024	-1.901000	-2.737000	-1.709000	-2.209000	-1.689000	-1.997000
Oct-87	-19.862200	0.552776	-18.454000	-21.672000	-22.729000	-27.472001	-28.285000	-32.949999
Nov-87	-12.292300	0.496118	-8.201000	-9.201000	-4.668000	-6.956000	-4.200000	-6.611000
Dec-87	13.787100	0.495103	5.354000	7.808000	5.984000	13.019000	5.884000	10.404000
Jan-88	4.128700	0.500657	8.313000	1.221000	6.955000	1.013000	6.750000	1.952000
Feb-88	4.839700	0.488222	3.102000	4.494000	6.420000	8.202000	8.694000	9.310000
Mar-88	-3.729100	0.487546	-3.237000	-4.747000	-0.062000	0.452000	4.050000	5.356000
Apr-88	1.047100	0.505150	2.029000	-0.002000	0.647000	0.565000	2.121000	2.415000
May-88	0.921100	0.539831	1.983000	0.187000	0.712000	-1.770000	-2.145000	-3.296000
Jun-88	5.631700	0.572839	3.546000	4.843000	6.423000	7.557000	6.903000	7.379000
Jul-88	-1.741000	0.575942	0.511000	-0.747000	-0.712000	-3.785000	-0.057000	-1.861000
Aug-88	-3.433000	0.624377	-2.527000	-3.599000	-1.100000	-3.809000	-1.514000	-3.636000
Sep-88	2.983600	0.638279	3.410000	5.536000	3.018000	3.956000	2.461000	2.832000
Oct-88	2.131800	0.649991	2.988000	2.974000	1.149000	-0.604000	-0.579000	-1.663000
Nov-88	-1.071100	0.695470	-0.455000	-1.684000	-2.392000	-2.407000	-2.793000	-3.895000
Dec-88	1.772200	0.718819	0.905000	2.489000	1.681000	3.722000	2.993000	4.890000
Jan-89	7.544000	0.711559	7.357000	7.431000	6.053000	5.894000	4.652000	4.268000
